answered_on;choice_freedom;felt_like_i_had_to;trust_doing_stuff_well;uncertain_about_skills;connected_people_who_care;important_people_cold_distant;daily_stress_level;daily_stress_causes;daily_stress_cause_explanation;traffic_reason;traffic_location_open;covid_reason;expectation_tomorrow;interaction;citizen_id;panelkit_id;timestamp;fired;wave;study_day;campaign;day;week_day
2021-04-19 20:00:41.958000+02:00;Neutraal;Eerder wel;Eerder wel;Eerder niet;Eerder wel;Eerder niet;4;Werk of school;;;;;4;EOD;email|6075be3d1febfddccc1b702d;6ef38be1-95dc-11ea-83ea-832802f41e4e;2021-04-19 20:01:24.237000+02:00;2021-04-19 20:00:16.726000+02:00;w3;1;1;Maandag;Weekdag
2021-04-19 20:00:50.576000+02:00;Eerder wel;Eerder niet;Eerder wel;Neutraal;Eerder niet;Helemaal niet;6;Werk of school;Stresserende werkdag;;;;3;EOD;email|6075be5b1febfddccc2224bd;c5909f11-87b2-11eb-9dd4-cb04303e036e;2021-04-19 20:02:01.256000+02:00;2021-04-19 20:00:20.229000+02:00;w3;1;1;Maandag;Weekdag
2021-04-19 20:01:14.863000+02:00;Eerder niet;Neutraal;Eerder wel;Eerder niet;Eerder wel;Helemaal niet;4;Werk of school;;;;;6;EOD;email|6075be561febfddccc210bee;6ee1ffb1-95dc-11ea-83ea-832802f41e4e;2021-04-19 20:02:05.626000+02:00;2021-04-19 20:00:19.255000+02:00;w3;1;1;Maandag;Weekdag
2021-04-19 20:00:41.275000+02:00;Eerder wel;Eerder niet;Eerder wel;Eerder niet;Eerder wel;Helemaal niet;7;Werk of school;Nieuwe start project op school;;;;5;EOD;email|6075be361febfddccc19bec1;5ebddf71-4cdc-11eb-9dd4-cb04303e036e;2021-04-19 20:02:10.739000+02:00;2021-04-19 20:00:16.186000+02:00;w3;1;1;Maandag;Weekdag
2021-04-19 20:00:49.338000+02:00;Neutraal;Eerder niet;Eerder wel;Helemaal niet;Eerder niet;Helemaal niet;7;Werk of school;/;;;;3;EOD;email|6079a9dc1febfddccc1a9ab3;d8ac1d21-843a-11eb-9dd4-cb04303e036e;2021-04-19 20:02:11.383000+02:00;2021-04-19 20:00:22.788000+02:00;w3;1;1;Maandag;Weekdag
2021-04-19 20:00:49.897000+02:00;Eerder wel;Eerder niet;Eerder wel;Helemaal niet;Eerder wel;Helemaal niet;2;Werk of school;;;;;2;EOD;email|6075be4f1febfddccc1f99f3;c6040991-83fd-11eb-9dd4-cb04303e036e;2021-04-19 20:02:18.196000+02:00;2021-04-19 20:00:18.922000+02:00;w3;1;1;Maandag;Weekdag
2021-04-19 20:00:49.351000+02:00;Neutraal;Neutraal;Eerder wel;Eerder niet;Eerder wel;Eerder niet;5;Anders;Discussieren over opstartende vennootschap met partners die niet altijd zelfde visie hebben;;;;6;EOD;email|6075be4c1febfddccc1ee62f;5d2d3fe1-898e-11eb-9dd4-cb04303e036e;2021-04-19 20:02:23.273000+02:00;2021-04-19 20:00:18.603000+02:00;w3;1;1;Maandag;Weekdag
2021-04-19 20:00:43.387000+02:00;Neutraal;Neutraal;Neutraal;Neutraal;Eerder niet;Eerder niet;6;Werk of school;Nee;;;;6;EOD;email|6066cc0f1febfddcccea90cd;d148b111-8287-11eb-9dd4-cb04303e036e;2021-04-19 20:02:23.896000+02:00;2021-04-19 20:00:14.770000+02:00;w3;1;1;Maandag;Weekdag
2021-04-19 20:00:54.991000+02:00;Eerder niet;Eerder wel;Eerder niet;Neutraal;Helemaal niet;Neutraal;7;Werk of school;Normale werkdag;;;;7;EOD;email|6075be3e1febfddccc1b9530;a09d0e91-8411-11eb-9dd4-cb04303e036e;2021-04-19 20:02:30.793000+02:00;2021-04-19 20:00:16.886000+02:00;w3;1;1;Maandag;Weekdag
2021-04-19 20:00:57.579000+02:00;Eerder niet;Eerder wel;Eerder wel;Eerder niet;Eerder niet;Eerder niet;7;Werk of school;Eerste dag na verlof, bijna uitsluitend online meetings ;;;;7;EOD;email|6079a9d31febfddccc18a935;068aa1b1-86ea-11eb-9dd4-cb04303e036e;2021-04-19 20:02:38.484000+02:00;2021-04-19 20:00:21.243000+02:00;w3;1;1;Maandag;Weekdag
